3	10	4	3 
3	120	15	8 
3	1540	55	20 
3	7140	119	34 
4	4900	70	24 
6	946	22	11 
8	1045	19	10 
8	5985	45	18 
8	123395663059845	6413415	49785 
8	774611255177760	16068720	91839 
10	175	7	5 
10	368050005576	303336	6511 
11	23725	73	25 
11	1519937678700	581175	10044 
11	7248070597636	1269127	16906 
14	441	9	6 
14	195661	181	46 
17	975061	361	73 
17	1580765544996	459096	8583 
20	3578401	631	106 
23	10680265	1009	145 
26	27453385	1513	190 
29	63016921	2161	241 
30	23001	41	17 
32	132361021	2971	298 
35	258815701	3961	361 
38	477132085	5149	430 
41	55202400	1683	204 
41	837244045	6553	505 
43	245905	110	33 
44	1408778281	8191	586 
47	2286380881	10081	673 
50	314755	115	34 
50	3595928401	12241	766 
53	5501691505	14689	865 
56	8214519205	17443	970 
59	12001111741	20521	1081 
60	1785508245600	248132	5695 
62	17194450141	23941	1198 
65	24205450501	27721	1321 
68	33535911025	31879	1450 
71	45792819865	36433	1585 
74	61704091801	41401	1726 
77	82135801801	46801	1873 
80	108110983501	52651	2026 
83	140830060645	58969	2185 
86	181692979525	65773	2350 
88	48280	34	15 
89	232323110461	73081	2521 
92	294592986361	80911	2698 
95	370651946401	89281	2881 
98	462955752865	98209	3070 
101	574298249185	107713	3265 
104	707845127221	117811	3466 
107	867169871821	128521	3673 
110	1056291950701	139861	3886 
113	1279717317685	151849	4105 
116	1542481297345	164503	4330 
119	1850193919081	177841	4561 
122	2209087768681	191881	4798 
125	2626068425401	206641	5041 
128	3108767552605	222139	5290 
131	3665598710005	238393	5545 
134	4305815955541	255421	5806 
137	5039575304941	273241	6073 
140	5877999117001	291871	6346 
143	6833243472625	311329	6625 
145	101337426	1191	162 
146	7918568615665	331633	6910 
149	9148412523601	352801	7201 
152	10538467676101	374851	7498 
155	12105761089501	397801	7801 
158	13868737685245	421669	8110 
161	15847347060325	446473	8425 
164	18063133727761	472231	8746 
167	20539330895161	498961	9073 
170	23300957849401	526681	9406 
173	26374921015465	555409	9745 
176	29790118757485	585163	10090 
179	33577549990021	615961	10441 
182	37770426667621	647821	10798 
185	42404290220701	680761	11161 
188	47517132005785	714799	11530 
191	53149517838145	749953	11905 
194	59344716674881	786241	12286 
197	66148833516481	823681	12673 
200	73610946594901	862291	13066 
203	81783248916205	902089	13465 
206	90721194225805	943093	13870 
209	100483647464341	985321	14281 
212	111133039782241	1028791	14698 
215	122735528181001	1073521	15121 
218	135361159849225	1119529	15550 
221	149084041261465	1166833	15985 
224	163982512107901	1215451	16426 
227	180139324122901	1265401	16873 
230	197641824880501	1316701	17326 
233	216582146624845	1369369	17785 
236	237057400203625	1423423	18250 
239	259169874172561	1478881	18721 
242	283027239138961	1535761	19198 
245	308742757412401	1594081	19681 
248	336435498030565	1653859	20170 
251	366230557228285	1715113	20665 
254	398259284417821	1777861	21166 
257	432659513748421	1842121	21673 
260	469575801313201	1907911	22186 
263	509159668071385	1975249	22705 
266	551569848553945	2044153	23230 
269	596972545420681	2114641	23761 
272	645541689936781	2186731	24298 
275	697459208436901	2260441	24841 
276	801801	77	26 
278	752915294844805	2335789	25390 
281	812108689316605	2412793	25945 
284	875246963075641	2491471	26506 
